keys,en,km
"Play","Play","លេង"
"Settings","Settings","ការកំណត់"
"Quit","Quit","ចាកចេញ"
"Singleplayer","Singleplayer","លេងម្នាក់ឯង"
"username","username","ឈ្មោះអ្នកប្រើប្រាស់"
"password not needed","password not needed","មិនត្រូវការពាក្យសម្ងាត់ទេ"
"Play Online","Play Online","លេងតាមអ៊ីនធឺណិត"
"Host & Play","Host & Play","បង្កើតបន្ទប់ និងលេង"
"Host Only","Host Only","បង្កើតម៉ាស៊ីនបម្រើ"
"Go Back","Go Back","ត្រឡប់ក្រោយ"
"Adventurer","Adventurer","អ្នកផ្សងព្រេង"
"Confirmation","Confirmation","ការបញ្ជាក់"
"Are you sure you want to close the game?","Are you sure you want to close the game?","តើអ្នកពិតជាចង់បិទហ្គេមមែនទេ?"
"Coming Soon!","Coming Soon!","មកដល់ឆាប់ៗនេះ!"
"The settings feature isn't implemented yet but it will be soon.","The settings feature isn't implemented yet but it will be soon.","មុខងារកំណត់នឹងមកដល់ឆាប់ៗនេះ។"
"Reia","Reia","រេអា"
"Interact","Interact","អន្តរកម្ម"
"Open Bank","Open Bank","បើកធនាគារ"
"Talk","Talk","និយាយ"
"Examine","Examine","ពិនិត្យ"
"Pick Up","Pick Up","រើសយក"
"Drop","Drop","ទម្លាក់"
"Use","Use","ប្រើប្រាស់"
"Equip","Equip","បំពាក់"
"Unequip","Unequip","ដោះចេញ"
"Attack","Attack","វាយប្រហារ"
"Defend","Defend","ការពារ"
"Health","Health","សុខភាព"
"Mana","Mana","ថាមពល"
"Inventory","Inventory","កាបូបសម្ភារ"
"Bank","Bank","ធនាគារ"
"Chat","Chat","សារ"
"Send","Send","ផ្ញើ"
"Loading...","Loading...","កំពុងទាញយក..."
